date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-01-02,10710.73,149.18,2.2735,1.412,5.53,56.59,1555,,,,,,0,0.0,,
2018-01-03,10801.57,151.18,1.9839,1.2108,3.86,51.06,1555,,,,,,0,0.0,,
2018-01-04,10848.63,152.27,2.1624,1.293,4.57,48.2,1554,,,,,,0,0.0,,
2018-01-05,10879.8,152.47,1.8913,1.1682,2.96,48.2,1554,,,,,,0,0.0,,
2018-01-08,10915.75,152.12,2.4631,1.5682,5.66,40.03,1554,,,,,,0,0.0,,
2018-01-09,10914.89,151.16,2.0457,1.312,3.73,33.14,1554,,,,,,0,0.0,,
2018-01-10,10831.09,149.94,2.0524,1.3348,3.73,32.69,1554,,,,,,0,0.0,,
2018-01-11,10810.06,150.0,2.0642,1.2453,3.67,39.87,1555,,,,,,0,0.0,,
2018-01-12,10883.96,150.61,1.8565,1.1701,3.47,63.34,1555,,,,,,0,0.0,,
2018-01-15,10956.31,151.81,2.2364,1.3441,5.21,47.43,1556,,,,,,0,0.0,,
2018-01-16,10986.11,152.47,2.0368,1.1945,4.05,52.15,1557,,,,,,0,0.0,,
2018-01-17,11004.8,152.37,1.9996,1.2131,3.34,45.83,1558,,,,,,0,0.0,,
2018-01-18,11071.57,153.02,1.8152,1.0805,2.5,36.56,1559,,,,,,0,0.0,,
2018-01-19,11150.85,153.0,1.6451,1.0324,1.86,35.15,1559,,,,,,0,0.0,,
2018-01-22,11231.46,154.78,2.1213,1.2978,4.36,40.26,1560,,,,,,0,0.0,,
2018-01-23,11253.11,153.91,1.9018,1.1706,2.95,31.86,1560,-0.8396,2.0099,1.05,1.1603,95.0,0,0.0,,
2018-01-24,11152.16,154.23,1.7622,1.0506,2.63,42.56,1560,0.4336,1.684,2.13,1.0286,94.0,0,0.0,,
2018-01-25,11165.95,152.86,1.846,1.1264,3.27,32.95,1560,-0.7984,2.265,2.13,1.1533,94.0,0,0.0,,
2018-01-26,11147.1,152.86,1.8975,1.0694,3.46,40.71,1560,0.3369,2.1435,2.13,1.0474,94.0,0,0.0,,
2018-01-29,11221.81,153.83,2.0877,1.2114,4.42,40.85,1562,1.0179,2.456,6.38,1.2233,94.0,0,0.0,,
2018-01-30,11076.78,152.5,1.86,1.3554,3.32,20.38,1565,-1.8722,2.5697,1.05,1.346,95.0,0,0.0,,
2018-01-31,11103.79,153.15,1.6813,1.0441,2.24,38.66,1565,0.7493,1.762,1.06,1.0451,94.0,0,0.0,,
2018-02-01,11160.25,152.87,1.5897,0.9284,1.73,38.08,1565,-0.6322,1.619,1.06,0.9164,94.0,0,0.0,,
