stock_code,cap
1101,1880.6
1102,1168.59
1103,108.27
1104,181.63
1108,48.77
1109,46.23
1110,90.38
1201,60.73
1203,114.0
1210,493.92
1213,4.24
1215,316.89
1216,4147.88
1217,48.36
1218,77.75
1219,36.35
1220,19.74
1225,57.42
1227,264.0
1229,729.16
1231,238.47
1232,248.76
1233,26.06
1234,133.82
1235,69.58
1236,21.63
1240,24.33
1256,63.32
1259,19.01
1264,94.48
1268,71.98
1294,17.18
1295,15.93
1301,3507.53
1303,14156.52
1304,137.31
1305,66.53
1307,127.9
1308,77.77
1309,50.5
1310,42.24
1312,138.01
1313,154.37
1314,295.59
1315,63.32
1316,40.57
1319,452.47
1321,72.03
1323,18.12
1324,7.55
1325,22.47
1326,3405.34
1336,11.72
1337,12.53
1338,12.79
1339,33.39
1340,7.75
1341,31.34
1342,79.17
1402,1445.27
1409,365.76
1410,15.77
1413,12.25
1414,38.31
1416,19.93
1417,15.67
1418,10.34
1419,196.83
1423,35.38
1432,16.35
1434,288.08
1435,29.63
1436,68.73
1437,61.64
1438,24.97
1439,26.77
1440,207.1
1441,6.46
1442,108.03
1443,34.92
1444,71.69
1445,13.58
1446,18.94
1447,65.35
1449,15.83
1451,34.75
1452,14.72
1453,12.52
1454,16.88
1455,47.22
1456,13.21
1457,44.5
1459,34.83
1460,45.43
1463,31.02
1464,44.26
1465,12.74
1466,17.72
1467,23.34
1468,21.58
1470,19.81
1471,14.21
1472,46.45
1473,28.94
1474,13.38
1475,17.88
1476,1000.06
1477,557.53
1503,1018.5
1504,1585.09
1506,30.94
1512,6.52
1513,807.49
1514,277.21
1515,57.98
1516,6.22
1517,25.74
1519,2248.83
1521,19.24
1522,102.02
1524,44.63
1525,50.5
1526,11.49
1527,44.9
1528,35.5
1529,26.76
1530,26.26
1531,23.4
1532,90.86
1533,33.06
1535,56.55
1536,142.27
1537,103.4
1538,3.37
1539,10.56
1540,17.26
1541,17.1
1558,59.05
1560,1032.06
1563,129.95
1565,46.93
1568,29.49
1569,64.18
1570,17.38
1580,55.51
1582,104.02
1583,54.31
1584,40.67
1586,19.5
1587,19.49
1589,8.5
1590,3120.0
1591,13.92
1593,12.36
1595,33.54
1597,127.65
1598,35.83
1599,17.38
1603,55.01
1604,88.56
1605,1517.73
1608,217.68
1609,282.3
1611,38.41
1612,97.82
1614,83.83
1615,82.8
1616,38.24
1617,31.2
1618,74.38
1623,137.94
1626,14.49
1702,97.94
1707,130.96
1708,123.88
1709,131.9
1710,122.67
1711,194.45
1712,162.52
1713,70.87
1714,160.67
1717,776.03
1718,171.97
1720,100.44
1721,37.25
1722,442.47
1723,197.59
1725,54.74
1726,124.73
1727,96.02
1730,32.51
1731,27.72
1732,11.44
1733,31.83
1734,60.29
1735,20.48
1736,458.81
1737,63.9
1742,16.63
1752,32.21
1760,50.42
1762,25.0
1773,477.0
1776,10.13
1777,32.96
1781,5.42
1783,36.1
1784,31.82
1785,685.38
1786,37.15
1788,57.88
1789,147.47
1795,503.05
1796,12.81
1799,40.08
1802,1587.8
1805,13.51
1806,31.11
1808,284.43
1809,64.24
1810,74.06
1813,5.36
1815,508.19
1817,27.77
1903,122.35
1904,247.15
1905,148.88
1906,16.61
1907,503.92
1909,133.43
2002,2996.89
2006,629.44
2007,37.35
2008,58.88
2009,140.8
2010,138.93
2012,45.78
2013,81.4
2014,246.21
2015,378.04
2017,40.26
2020,56.47
2022,25.75
2023,253.17
2024,13.12
2025,20.81
2027,1191.33
2028,49.67
2029,65.68
2030,50.35
2031,131.51
2032,22.07
2033,13.19
2034,99.98
2035,94.5
2038,24.56
2049,1280.73
2059,9625.0
2061,33.4
2062,37.2
2063,11.45
2064,7.97
2065,20.52
2066,27.34
2067,2.9
2069,32.29
2070,24.36
2072,291.84
2073,7.53
2101,253.94
2102,88.75
2103,187.84
2104,96.99
2105,1004.84
2106,172.36
2107,77.57
2108,136.39
2109,40.37
2114,68.16
2115,23.07
2201,295.33
2204,280.68
2206,475.04
2207,2874.65
2208,240.88
2211,359.52
2221,19.6
2227,148.5
2228,61.75
2230,17.93
2231,139.34
2233,122.99
2235,9.95
2236,85.54
2239,22.71
2241,36.71
2243,33.2
2247,185.63
2248,27.74
2250,21.75
2254,38.99
2258,524.44
2301,5848.17
2302,71.59
2303,15281.03
2305,54.4
2308,43638.72
2312,484.86
2313,2627.98
2314,13.19
2316,296.95
2317,37105.78
2321,4.54
2323,112.74
2324,1643.88
2327,2933.7
2328,233.77
2329,293.89
2330,613300.54
2331,107.85
2332,136.7
2337,2555.89
2338,145.46
2340,142.34
2342,59.21
2344,7695.0
2345,13522.94
2347,1579.55
2348,138.93
2349,75.6
2351,314.18
2352,455.18
2353,914.35
2354,862.84
2355,165.35
2356,2349.81
2357,6075.77
2359,247.77
2360,8398.6
2362,317.98
2363,272.93
2364,37.61
2365,67.01
2367,299.45
2368,5092.91
2369,130.18
2371,547.39
2373,126.13
2374,235.24
2375,134.22
2376,2304.42
2377,1301.08
2379,3835.41
2380,11.37
2382,11665.14
2383,19008.93
2385,792.52
2387,74.1
2388,441.42
2390,20.13
2392,191.62
2393,291.19
2395,5400.55
2397,70.76
2399,76.05
2401,162.21
2402,168.85
2404,2229.86
2405,55.45
2406,112.81
2408,15836.45
2409,1852.82
2412,10627.7
2413,53.56
2414,91.38
2415,28.52
2417,65.1
2419,78.89
2420,84.57
2421,443.33
2423,108.5
2424,5.11
2425,46.46
2426,192.09
2427,44.61
2428,297.21
2429,26.84
2430,19.57
2431,11.64
2432,17.57
2433,60.4
2434,21.06
2436,122.85
2438,12.5
2439,203.43
2440,21.07
2441,699.68
2442,61.78
2444,10.97
2449,3044.63
2450,73.08
2451,1263.84
2453,53.0
2454,62872.7
2455,687.85
2457,99.6
2458,448.23
2459,68.21
2460,52.54
2461,31.96
2462,29.32
2464,385.68
2465,80.33
2466,165.65
2467,814.09
2468,24.31
2471,22.89
2472,392.06
2474,1010.29
2476,278.05
2477,34.41
2478,175.85
2480,165.39
2481,531.14
2482,12.61
2483,40.41
2484,113.51
2485,130.24
2486,535.76
2488,38.88
2489,193.37
2491,26.2
2492,1244.55
2493,278.95
2495,106.68
2496,11.29
2497,63.55
2498,339.44
2501,255.1
2504,358.72
2505,67.26
2506,33.15
2509,29.07
2511,134.73
2514,47.97
2515,190.54
2516,31.34
2520,207.83
2524,124.62
2527,124.2
2528,89.37
2530,161.94
2534,81.08
2535,251.84
2536,59.74
2537,32.91
2538,40.73
2539,514.24
2540,516.85
2542,949.52
2543,203.61
2545,121.13
2546,130.53
2547,107.13
2548,304.68
2596,31.05
2597,511.13
2601,51.71
2603,4416.68
2605,187.31
2606,544.22
2607,252.11
2608,133.56
2609,1760.02
2610,1355.57
2611,25.32
2612,107.63
2613,30.12
2614,58.74
2615,2365.58
2616,18.26
2617,121.43
2618,2335.69
2630,102.63
2633,1452.1
2634,585.85
2636,91.91
2637,638.19
2640,86.53
2641,56.66
2642,19.57
2643,22.21
2645,726.67
2646,636.34
2701,47.71
2702,19.42
2704,167.31
2705,30.8
2706,62.25
2707,225.5
2712,15.59
2718,39.05
2719,14.97
2722,31.56
2723,110.52
2724,6.56
2726,3.27
2727,185.79
2729,68.65
2731,136.18
2732,29.77
2734,8.5
2736,9.16
2739,31.22
2740,5.09
2743,26.59
2745,29.89
2748,40.15
2751,10.26
2752,46.58
2753,119.62
2754,32.99
2755,38.68
