stock_code,obs
1101,116
1102,116
1103,116
1104,116
1108,116
1109,116
1110,116
1201,116
1203,116
1210,116
1213,112
1215,116
1216,116
1217,116
1218,116
1219,116
1220,116
1225,116
1227,116
1229,116
1231,116
1232,116
1233,116
1234,116
1235,116
1236,116
1240,116
1256,116
1259,113
1264,116
1268,116
1294,116
1295,116
1301,116
1303,116
1304,116
1305,116
1307,116
1308,116
1309,116
1310,116
1312,116
1313,116
1314,116
1315,116
1316,116
1319,116
1321,116
1323,116
1324,116
1325,116
1326,116
1336,116
1337,116
1338,116
1339,116
1340,116
1341,116
1342,116
1402,116
1409,116
1410,116
1413,116
1414,116
1416,116
1417,116
1418,116
1419,116
1423,116
1432,116
1434,116
1435,116
1436,116
1437,116
1438,116
1439,116
1440,116
1441,116
1442,116
1443,116
1444,116
1445,116
1446,116
1447,116
1449,116
1451,116
1452,116
1453,116
1454,116
1455,116
1456,116
1457,116
1459,109
1460,116
1463,116
1464,116
1465,116
1466,116
1467,116
1468,116
1470,116
1471,116
1472,115
1473,116
1474,116
1475,116
1476,116
1477,116
1503,116
1504,116
1506,116
1512,116
1513,116
1514,116
1515,116
1516,116
1517,116
1519,116
1521,116
1522,116
1524,116
1525,116
1526,116
1527,116
1528,116
1529,116
1530,116
1531,116
1532,116
1533,116
1535,116
1536,116
1537,116
1538,107
1539,116
1540,116
1541,116
1558,116
1560,116
1563,116
1565,116
1568,116
1569,116
1570,116
1580,116
1582,116
1583,116
1584,116
1586,116
1587,116
1589,99
1590,116
1591,113
1593,116
1595,116
1597,116
1598,116
1599,116
1603,116
1604,116
1605,116
1608,116
1609,116
1611,116
1612,116
1614,116
1615,116
1616,116
1617,116
1618,116
1623,116
1626,116
1702,116
1707,116
1708,116
1709,116
1710,116
1711,116
1712,116
1713,116
1714,116
1717,116
1718,116
1720,116
1721,116
1722,116
1723,116
1725,116
1726,116
1727,116
1730,116
1731,116
1732,116
1733,116
1734,116
1735,116
1736,116
1737,116
1742,116
1752,116
1760,116
1762,116
1773,116
1776,116
1777,116
1781,115
1783,116
1784,116
1785,116
1786,116
1788,116
1789,116
1795,116
1796,116
1799,116
1802,116
1805,116
1806,116
1808,116
1809,116
1810,116
1813,116
1815,116
1817,116
1903,116
1904,116
1905,116
1906,116
1907,116
1909,116
2002,116
2006,116
2007,116
2008,116
2009,116
2010,116
2012,116
2013,116
2014,116
2015,116
2017,116
2020,116
2022,116
2023,116
2024,116
2025,116
2027,116
2028,116
2029,116
2030,116
2031,116
2032,116
2033,116
2034,116
2035,107
2038,116
2049,116
2059,116
2061,116
2062,116
2063,116
2064,115
2065,116
2066,116
2067,116
2069,116
2070,116
2072,88
2073,113
2101,116
2102,116
2103,116
2104,116
2105,116
2106,116
2107,116
2108,116
2109,116
2114,116
2115,116
2201,116
2204,116
2206,116
2207,116
2208,116
2211,116
2221,116
2227,116
2228,116
2230,116
2231,116
2233,116
2235,115
2236,116
2239,116
2241,116
2243,116
2247,116
2248,116
2250,116
2254,113
2258,116
2301,116
2302,116
2303,116
2305,116
2308,116
2312,116
2313,116
2314,116
2316,116
2317,116
2321,112
2323,116
2324,116
2327,116
2328,116
2329,116
2330,116
2331,116
2332,116
2337,116
2338,116
2340,116
2342,116
2344,116
2345,116
2347,116
2348,116
2349,116
2351,116
2352,116
2353,116
2354,116
2355,116
2356,116
2357,116
2359,116
2360,116
2362,116
2363,116
2364,116
2365,116
2367,116
2368,116
2369,116
2371,116
2373,116
2374,116
2375,116
2376,116
2377,116
2379,116
2380,116
2382,116
2383,116
2385,116
2387,116
2388,116
2390,116
2392,116
2393,116
2395,116
2397,116
2399,116
2401,116
2402,116
2404,116
2405,116
2406,116
2408,116
2409,116
2412,116
2413,116
2414,116
2415,116
2417,116
2419,116
2420,116
2421,116
2423,116
2424,116
2425,116
2426,116
2427,116
2428,116
2429,116
2430,116
2431,116
2432,116
2433,116
2434,116
2436,116
2438,116
2439,116
2440,116
2441,116
2442,116
2444,116
2449,116
2450,116
2451,116
2453,116
2454,116
2455,116
2457,116
2458,116
2459,116
2460,116
2461,116
2462,116
2464,116
2465,116
2466,116
2467,116
2468,116
2471,116
2472,116
2474,116
2476,116
2477,116
2478,116
2480,116
2481,116
2482,116
2483,116
2484,116
2485,116
2486,116
2488,116
2489,116
2491,116
2492,116
2493,116
2495,116
2496,116
2497,116
2498,116
2501,116
2504,116
2505,116
2506,116
2509,116
2511,116
2514,116
2515,116
2516,116
2520,116
2524,116
2527,116
2528,116
2530,116
2534,116
2535,116
2536,116
2537,116
2538,116
2539,116
2540,116
2542,116
2543,116
2545,116
2546,116
2547,116
2548,116
2596,114
2597,116
2601,116
2603,116
2605,116
2606,116
2607,116
2608,116
2609,116
2610,116
2611,116
2612,116
2613,116
2614,116
2615,116
2616,116
2617,116
2618,116
2630,116
2633,116
2634,116
2636,116
2637,116
2640,115
2641,116
2642,116
2643,116
2645,116
2646,116
2701,116
2702,116
2704,116
2705,116
2706,116
2707,116
2712,114
2718,116
2719,116
2722,116
2723,116
2724,112
2726,116
2727,116
2729,116
2731,116
2732,116
2734,116
2736,116
2739,116
2740,116
2743,116
2745,115
2748,116
2751,116
2752,116
2753,116
2754,116
2755,116
2756,116
2762,116
2801,116
2812,116
2816,116
2820,116
2832,116
2834,116
2836,116
2838,116
2845,116
2849,116
2850,116
2851,116
2852,116
2855,116
2867,116
2880,116
2881,116
2882,116
2883,116
2884,116
2885,116
2886,116
2887,116
2889,116
2890,116
2891,116
2892,116
2897,116
2901,116
2903,116
2904,116
2905,116
2906,116
2908,116
2910,116
2911,116
2912,116
2913,116
2915,116
2916,116
2923,116
2924,111
2926,116
2929,116
2937,112
2939,116
2941,107
2945,116
2947,115
2948,112
2949,112
3002,116
3003,116
3004,116
3005,116
3006,116
3008,116
3010,116
3011,116
3013,116
3014,116
3015,116
3016,116
3017,116
3018,116
3019,116
3021,116
3022,116
3023,116
3024,116
3025,116
3026,116
3027,116
3028,116
3029,116
3030,116
3031,116
3032,116
3033,116
3034,116
3035,116
3036,116
3037,116
3038,116
3040,116
3041,116
3042,116
3043,116
3044,116
3045,116
3046,116
3047,116
3048,116
3049,116
3050,116
